cid,Uniprot ID,label
6,P16455,1
6,P09211,1
19,P80188,1
19,P40871,1
36,P08200,1
36,Q56268,1
38,P31057,1
44,P23368,1
44,Q16798,1
49,O15382,1
49,P9WQB3,1
49,Q9JZW6,1
49,P18548,1
58,Q00740,1
58,Q70AC7,1
70,P18548,1
70,P17584,1
86,Q51792,1
96,P16930,1
107,P00509,1
107,P95468,1
107,Q75WK2,1
119,P50440,1
119,Q9UBS5,1
119,O75899,1
135,P26602,1
135,P00438,1
135,P20586,1
135,Q04416,1
137,P13716,1
178,P27017,1
186,P32055,1
186,P39646,1
187,P22303,1
187,P11229,1
187,P08172,1
187,P20309,1
187,P08173,1
187,P36544,1
190,P07741,1
190,O00763,1
190,Q13126,1
190,Q05603,1
190,P0AF12,1
190,Q8RLY5,1
190,P17802,1
190,Q9BY49,1
190,Q5SL87,1
190,P24666,1
190,P78362,1
199,P18825,1
199,Q9Y2I1,1
199,P02708,1
199,Q05586,1
199,P48048,1
199,Q00975,1
199,Q9UHC3,1
227,P14920,1
227,Q96RQ9,1
237,O60733,1
237,P47712,1
237,Q15111,1
239,P9WIL5,1
243,P30044,1
243,Q9L9D7,1
243,P32890,1
243,P31992,1
243,P52758,1
243,P06993,1
243,P51151,1
243,O67987,1
243,P0ACQ4,1
243,P96965,1
243,Q01234,1
243,O31168,1
243,Q5PXQ6,1
243,Q52546,1
243,P14920,1
243,P46059,1
247,P10415,1
248,P74645,1
248,P0AFM2,1
249,P77674,1
254,P47228,1
254,P17297,1
254,P0A108,1
255,P20581,1
264,Q53464,1
264,P06276,1
264,P96965,1
273,Q46893,1
277,P00808,1
281,P02144,1
284,P29475,1
284,P00918,1
284,P05041,1
284,P05230,1
284,P09601,1
284,Q59643,1
284,Q46891,1
284,P0A6D3,1
284,P00780,1
284,P0A6K3,1
284,P0A7E1,1
284,Q60099,1
284,P22629,1
284,P0A1V8,1
284,O07347,1
284,P0A733,1
284,Q9X0N8,1
284,P42321,1
284,Q27796,1
284,Q13363,1
284,P9WPE1,1
284,O14936,1
284,P9WKE9,1
284,Q9X278,1
284,Q81C15,1
284,P80357,1
284,P39841,1
284,Q9X0V0,1
284,P75914,1
284,O34714,1
284,P16544,1
284,Q9NQX3,1
284,Q81F54,1
284,Q99418,1
284,Q06700,1
284,Q9WXS0,1
284,P77872,1
284,Q9X0F9,1
284,Q8MU52,1
284,O31465,1
284,P77454,1
284,P30749,1
284,Q9X0L5,1
284,Q9Z4N6,1
284,Q5SHZ4,1
284,P07998,1
284,P20472,1
284,P14621,1
284,Q9BVM4,1
286,P21549,1
289,P47228,1
289,P07773,1
305,P22303,1
305,Q9Y5K3,1
305,P49585,1
305,O14939,1
305,P06276,1
305,Q13393,1
305,Q8TCT1,1
305,P36544,1
311,P07741,1
311,O76074,1
311,Q14749,1
311,P15121,1
311,P40926,1
311,P12931,1
311,Q93088,1
311,P12724,1
311,Q9Y275,1
311,P03950,1
311,P00953,1
311,P9WN95,1
311,P04190,1
311,Q9BZX2,1
311,P00808,1
311,P39126,1
311,Q9Y663,1
311,P45568,1
311,P38489,1
311,P32173,1
311,P16608,1
311,P14174,1
311,P05042,1
311,Q02834,1
311,Q9X0N8,1
311,P0A955,1
311,Q9HU22,1
311,P04079,1
311,Q9WZW1,1
311,P9WN39,1
